Respuesta;Enviado el:;Institución;Departamento;Curso;Grupo;ID;Nombre completo;Nombre de usuario;Q00_Group;Q01_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q01_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q01_equipment->Lab equipment was well mantained/modern;Q02_Length and schedule->The course is too long;Q02_Length and schedule->The period allocated for the course within the term is appropriate;Q02_Length and schedule->On average, the number of hours per day is sufficient;Q03_General methodology->student engagement;Q03_General methodology->course interest;Q03_General methodology->course usefulness;Q03_General methodology->demand on student's part;Q03_General methodology->course difficulty;Q04_method_objectives->State a hypothesis;Q04_method_objectives->Design an experimental strategy to answer specific biological questions;Q04_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q04_method_objectives->Write an experimental protocol including all relevant controls;Q04_method_objectives->Execute an experimental protocol;Q04_method_objectives->Record, analyze and interpret experimental results;Q04_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q04_method_objectives->Follow lab safety rules;Q04_method_objectives->Ability to work in a team;Q05_Activities interest->Introductory lecture (day 1);Q05_Activities interest->Stats Intro (day 2);Q05_Activities interest->Initial brainstorming session (day 2);Q05_Activities interest->Group meetings (experiment planning and design);Q05_Activities interest->Team feed-back sessions;Q05_Activities interest->Final group discussion session (day before the last);Q05_Activities interest->Final class discussion session (last day);Q06_activities length->Introductory lecture (day 1);Q06_activities length->Stats Intro (day 2);Q06_activities length->Initial brainstorming session (day 2);Q06_activities length->Group meetings (experiment planning and design);Q06_activities length->Team feed-back sessions;Q06_activities length->Final group discussion session (day before the last);Q06_activities length->Final class discussion session (last day);Q07_Assessment Items 1->Safety and clean-up weekly evaluation;Q07_Assessment Items 1->Individual lab notebook evaluation (design);Q07_Assessment Items 1->Group lab notebook evaluation (design);Q07_Assessment Items 1->Group lab notebook evaluation (results);Q07_Assessment Items 1->Peer-evaluation (Team);Q07_Assessment Items 1->Final exam;Q08_Learning Objectives->State a hypothesis;Q08_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q08_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q08_Learning Objectives->Write an experimental protocol including all relevant controls;Q08_Learning Objectives->Execute an experimental protocol;Q08_Learning Objectives->Record, analyze and interpret experimental results;Q08_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q08_Learning Objectives->Follow lab safety rules;Q08_Learning Objectives->Ability to work in a team;Q09_Best;Q10_Worst;Q11_final_Open;Q12_On the Electronic Note Book->-I knew OneNote before the course.;Q12_On the Electronic Note Book->-I find OneNote a useful app for the elaboration of the course Notebook.;Q12_On the Electronic Note Book->-I think we had enough previous information about the use of OneNote for the course laboratory notebook.;Q12_On the Electronic Note Book->-I would prefer other applications like Evernote, Google Docs, or MS Word.;Q12_On the Electronic Note Book->-The structure of the Notebook in Sections, Pages, and Subpages was easy to understand and use.;Q12_On the Electronic Note Book->-I would recommend to use OneNote for the ELN next year.;Q13_On the Electronic Note Book->-It overall allowed us to save time through the whole course.;Q13_On the Electronic Note Book->-It helped us in the preparation of the final version to be presented.;Q13_On the Electronic Note Book->-It made it easier working in groups.;Q13_On the Electronic Note Book->-It could be useful for other practical courses.;Q14_On the Electronic Note Book->-Synchronization issues hindered our team-working.;Q14_On the Electronic Note Book->-Conflicts of versions were very frequent.;Q14_On the Electronic Note Book->-Access to the ELN was slow.;Q14_On the Electronic Note Book->-We missed several word-processing features.;Q14_On the Electronic Note Book->-Some features of the application did not work properly.;Q15_On the Electronic Note Book->-The template helped us to prepare the final version of the notebook.;Q15_On the Electronic Note Book->-The structure of the template matches the evaluation rubric.;Q15_On the Electronic Note Book->-The structure of 4 independent notes helped to understand each step of the work in a research lab.;Q15_On the Electronic Note Book->-The word limit in some sections of the template is appropriate (1;Q15_On the Electronic Note Book->-We had to modify some sections of the template to suit our experimental work.;Q15_On the Electronic Note Book->-The template will facilitate an even evaluation.;Q15_On the Electronic Note Book->-The use of an ELN with OneNote in this course will help us in future laboratory work (TFG, TFM, etc.).;Q16_final_Open On the ELN
65898;20/12/2019 12:29:45;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo1;;4 : Yeast;5;3;3;1;5;4;3;3;3;3;2;5;5;4;5;3;4;5;3;4;5;4;5;5;5;5;5;2;2;2;2;2;3;2;2;3;5;5;5;3;4;4;3;4;3;4;4;4;5;La variedad de grupos (moscas, levaduras...) y la gran cantidad de preguntas que pueden surgir dentro de cada grupo nos permiten comprometernos con un tema que nos interese (aunque sea solo porque tenemos interés en aprender a realizar una determinada técnica experimental).;;Habría que actualizar la información sobre los anticuerpos disponibles para hacer más fácil el diseño experimental.;1;3;3;3;5;3;3;4;4;4;5;5;3;5;2;4;4;4;5;2;4;2;"- Los ""cambios conflictivos"" hicieron que a algunos compañeros les desaparecieran cambios que habían hecho en sus documentos.- Mientras que el límite de palabras es útil para el background, debería ser más flexible para la discusión de los resultados y de futuros experimentos."
65902;20/12/2019 12:30:40;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo2;;3 : Transcription;3;4;4;1;5;5;3;3;3;3;3;5;5;3;5;5;5;5;2;5;5;5;5;5;5;5;2;1;1;3;3;3;3;2;3;3;5;5;4;1;5;4;3;4;5;5;5;3;5;Trabajar grupalmente y realizar experimentos cruzados con otros grupos de 3 dentro de transcripciónEl trabajo grupal (3 personas) en vez de por parejasEntrega de cuaderno grupal y no individualLa libertad a la hora de plantear nuestras hipótesis y experimentos;Reducir el número de experimentos porque los grupos de Transcripción hicimos un total de 4 cuadernos de laboratorio al final frente a la mayoría de otros grupos que realizaron una sola entrega.Explicación más detallada de Estadística y como aplicarla en nuestros procesamientos de datos.  Generalizar los métodos de análisis, por ejemplo, todos los grupos que pudiesen aplicar estadística a sus datos que lo hiciesen porque creo que al final unos trabajamos más que otros en ese sentido.  Recibir más feedback en el cuaderno, al menos semanalmente.  ;;1;5;1;3;3;5;5;4;5;5;3;3;2;3;4;5;5;5;3;1;5;5;OneNote ha sido muy útil pero debería de darse antes de la realización de las prácticas un pequeño curso introductorio más extenso que las simples directrices que nos comunicasteis el primer día.  Creo que debería de tener un porcentaje sobre la nota, aunque mínimo, la implicación de cada uno en el cuaderno de laboratorio, es decir, la cantidad que abarca cada uno dentro del cuaderno y el tiempo diario que le dedica.  
65913;20/12/2019 12:32:58;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo3;;5 : Flies;4;1;5;1;5;2;3;3;3;3;2;5;5;5;5;2;4;5;1;5;2;1;5;5;5;5;5;1;1;2;2;2;2;2;2;1;5;5;1;1;4;4;2;4;4;4;4;2;5;En general el planteamiento de las prácticas me ha parecido muy buen. he disfrutado mucho el tener tanta libertad a la hora de hacer experimentos, el poder diseñar experimentos posteriores en base a mis resultados, comparar y compartir información, oligos e incluso algún experimento con otros grupos.    Las puestas en común diarias han sido bastante útiles pero quizá podrían ocupar un poco menos de tiempo.  en general trabajar con moscas y larvas que es algo que no habíamos hecho nunca me ha resultado muy educativas.  ;El primer día la introducción y el momento salir a la pizarra me parece que se alargó un poco   que quizá podríamos haber fusionado la charla de estadística ese mismo día. Y me faltó un poco más de explicación del enfoque de cada grupo en la charla inicial.  ;Muy útil el programa BioRender el cual no conocíamos. Incluiría más programas de este tipo en los recursos comunes para tener varias opciones.  A pesar de que habernos quedado muchos días hasta bastante más tarde del horario estipulado ha sido bastante cansado a momento, me parece que ha sido de lo mejor de las prácticas.  ;1;4;2;4;5;4;2;4;4;4;3;4;1;3;3;5;4;4;3;4;4;4;Me parece que una de las cosas más útiles de OneNote ha sido poder consultar los cuadernos de otros grupos ya que había experimentos que se solapaban y poder consultar su protocolos y sobretodo sus conclusiones, las cuales afectaban a nuestros experimentos es muy útil. Además el tener las plantillas nos ha ayudado mucho entre los tres integrantes del grupo para estar de acuerdo en como orientar el cuaderno.  En cuanto a aspectos negativos, lo único a mencionar es la velocidad de coordinación de los cambios conflictivos. Pero en conjunto bastante bien.  
65886;20/12/2019 12:26:24;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo4;;5 : Flies;3;1;4;1;4;3;3;3;3;3;2;4;4;4;4;4;4;5;4;5;3;4;4;5;5;5;5;1;2;2;2;2;2;2;4;4;5;5;5;0;4;5;3;5;5;4;5;5;5;Permite saber desenvolvernos de formas un poco más autonoma en el laboratorio, a la hora de realizar protocolos y saber tomar decisiones con respecto a nuestro experimento. Otro aspecto positivo es que he visto mucho reforzado el aprender a trabajar en equipo con personas con las que nunca has trabajado antes. Me ha ayudado mucho también a la hora de saber analizar resultados y saber buscar razones a errores o cosas no esperadas.  ;El cuaderno de laboratorio no es del todo claro con lo que tenemos que poner en cada apartado. También de que se ha observado un poco de desequilibrio entre la carga de trabajo de los diferentes grupos.  ;;1;3;2;3;5;4;4;4;4;4;3;4;2;2;3;5;4;4;3;4;4;5;El único problema que veo del Onenote es que no permite modificar adecuadamente las imágenes o figuras que se deben de añadir al cuaderno y por ello se tiene que utilizar otras aplicaciones para estos casos.  
65918;20/12/2019 12:36:04;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo5;;3 : Transcription;3;4;4;1;4;3;3;3;3;2;2;5;5;5;5;4;4;5;3;5;2;2;5;4;1;4;3;1;3;2;2;3;3;2;3;0;5;4;4;2;2;4;3;5;5;5;4;4;5;El método es mucho más autónomo, permite desarrollar tu creatividad y responder a preguntas por las que tengas un interés real. Esto, en mi opinión, hace que los alumnos estén mucho más motivados, por ejemplo a buscar bibliografía en casa, a hacer preguntas relevantes y a encontrar la mejor manera de realizar el experimento. Tú mismo diseñas todo el experimento, desde el protocolo a los controles relevantes, lo que ayuda a entender la importancia de realizar todos estos pasos de forma correcta. Además, aprendes a razonar qué controles faltan, por qué algunos experimentos son mejores o peores para responder a una determinada pregunta, lo que no aprendes con unas prácticas tradicionales en las que te dan el protocolo y tú lo sigues igual que sigues una receta.  ;"En mi opinión, se requiere más tiempo de feedback después de cada sesión, para comentar entre todos los miembros del grupo lo que hemos hecho, que ha fallado y qué podríamos mejorar para la próxima ocasión, ya que a veces hay un poco de confusión y no sabe realmente lo que hace cada miembro del grupo. Creo que esto podría ayudar a aprender más, sobre todo sobre técnicas o cosas que a ti no se te hayan ocurrido o no hayas hecho pero que otros compañeros sí.Por otra parte, creo que se debería realizar algún tipo de comparación transversal entre los distintos grupos (moscas, metabolismo, etc), y dar un pequeño porcentaje de evaluación en función de la comparación de distintos puntos. Por ejemplo, transcripción ha hecho estadística, y no ha dado por buenos resultados que no sean significativos estadísticamente, sin embargo, la mayoría de los demás grupos no han tenido en cuenta la estadística. O, a lo mejor, hay grupos que han detallado muy rigurosamente todo lo que han hecho cada día y grupos que no, o grupos que solo tienen un cuaderno poco desarrollado frente a grupos que tienen hasta 4 cuadernos bien desarrolados. En mi opinión esto se debería tener en cuenta para ""normalizar"" un poco las evaluaciones entre los distintos grupos e intentar que las competencias transversales (estadística, cuaderno, etc) de todos los grupos sean lo más homogéneas posible. Porque si no, en función del profesor que te toque, en mi caso, Luis, aprendes mucho de estadística, pero si te toca otro profesor a lo mejor no aprendes nada de estadística pero sí de realizar los controles más adecuados (en el caso de Jose en el grupo de levaduras), y creo que se debería tratar de que todo el mundo adquiriese estas competencias ""básicas"" e indispensables. Quizás esta evaluación se podría hacer por profesores de grupos distintos a los alumnos (uno de cada grupo) y luego hacer la media entre las calificaciones asignadas por todos los profesores. Además, esto podría hacer que los profesores fueran más conscientes de lo que se hace, y cómo se hace, en los otros grupos, y pensar aspectos que mejorar del propio.";Luis me ha parecido un excelente profesor. Enhorabuena.;2;5;5;2;4;5;5;5;5;5;2;2;1;4;3;4;3;4;3;3;5;5;No es justo que la gente se pueda copiar... en el caso de transcripción que todos hemos hecho el mismo experimento he sido consciente de que otros grupos copiaban imágenes que había diseñado yo tal cual en sus cuadernos, copiaban el protocolo, los materiales, la discusión, los futuros experimentos... Y es verdad que puede ser positivo en algunos aspectos: aprender más sobre lo que hacen otros grupos, lo que te da ideas nuevas, te ayuda a mejorar... pero considero que, con todo, los aspectos negativos superan a los positivos, ya que ver que te están copiando y nadie se va a dar cuenta (porque no se sabe quién lo ha escrito primero) no me parece muy justo.  
65878;20/12/2019 12:23:17;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo6;;1 : Biochemistry;3;5;3;1;5;4;2;2;3;3;2;5;4;5;5;2;3;5;3;3;2;4;1;3;3;5;1;2;2;1;1;2;3;1;4;5;5;5;5;3;4;5;4;5;5;4;3;4;5;El formato de las prácticas, habernos dejado tanta libertad como para poder diseñar un experimento entero nosotros solos.;La poca disponibilidad de algunos recursos como la cabina de cultivos. hemos tenido, bajo mi punto de vista, poco tiempo ya que estuvimos toda la primera semana con el diseño experimental en vez de empezar con los experimentos. además hay que hacer una revision de los protocolos;;5;4;2;3;5;3;2;4;2;3;5;5;2;5;3;5;5;5;3;1;5;3;
65866;20/12/2019 12:18:55;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo7;;3 : Transcription;3;2;4;2;4;3;3;3;3;3;3;5;5;5;5;3;3;4;3;5;4;4;4;5;5;3;3;2;2;2;3;2;3;3;2;5;4;4;2;1;4;5;3;4;3;2;3;3;4;El abanico de oportunidades que te ofrece para hacer lo que tú quieres en el laboratorioLa independencia y libertad respecto a horarios y experimentos;Un poco caótico hasta que todos nos centramosPoco tiempo para hacer todos los experimentos con sus controles correspondientes;;1;2;3;5;1;2;2;2;2;2;3;2;4;2;3;2;5;2;3;1;4;2;
65916;20/12/2019 12:34:20;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo8;;3 : Transcription;3;4;3;2;4;4;3;3;3;3;3;5;5;4;5;2;4;5;3;3;3;4;4;5;3;4;3;1;3;2;2;3;2;3;0;0;5;5;0;4;3;4;3;3;4;5;4;3;3;Luis como profesor, ha sido muy implicado en todo.Aprender a diseñar experimentos y a preparar un protocolo por nosotros mismos.;Al hacer todo de forma grupal en nuestro caso, algunas personas han tenido días vacíos mientras que otras han estado bastante saturadas, sobre todo los primeros días. Hubiese sido mejor haber dedicado más tiempo a dividir el trabajo entre los distintos miembros del grupo.En transcripción hemos hecho 4/5 experimentos, lo que conlleva una carga de trabajo mucho mayor que en otros grupos, debido al planteamiento que se ha llevado de que todos los grupos realizásemos los mismos experimentos. Esto no es algo negativo en sí, porque hemos realizado más experimentos, pero hemos estado bastante saturados con la realización de todos los cuadernos, y eso nos ha quitado tiempo para preparar adecuadamente el examen final.Las explicaciones de cómo plantear una hipótesis del primer día no han quedado claras, habiendo discrepancias entre distintos profesores sobre cuál es la mejor forma de plantearlas y qué es y no es una hipótesis válida.Las explicaciones sobre análisis de datos estadísticamente del final de nuestro bloque las hubiese preferido al principio, como una clase general, o en general expandir la clase inicial de estadística.;Estaría bien conocer de qué reactivos disponemos de compañeros de otros años el primer día, para saber de dónde podemos partir a la hora de realizar los experimentos. (Se nos ha informado sobre esto, pero no teníamos una lista completa de todos los reactivos, y eso nos podría haber dirigido hacia otros experimentos distintos).;1;4;3;5;4;3;4;5;4;3;5;5;2;4;3;2;3;4;1;4;4;3;Pros: online, estructurado, etc.Cons: ha habido problemas de sincronización, tanto entre miembros del grupo como entre una misma persona, por alguna razón. Teníamos que trabajar en hojas separadas o en word y ponernos de acuerdo para utilizar una sola persona cada página al mismo tiempo, para que no hubiese problemas. El tema del formato en onenote es incómodo, y en algunas versiones de onenote no se pueden editar algunas cosas.En general la idea está bien, si se pudiese encontrar una alternativa distinta que hiciese lo mismo o similar, pero que no tuviese estos inconvenientes, estaría mucho mejor.
65875;20/12/2019 12:22:16;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo9;;2 : Metabolism;4;5;2;2;5;5;3;2;3;3;2;5;5;5;4;1;3;3;3;3;4;2;4;5;3;3;1;2;2;2;1;2;2;1;-998;-998;-998;-998;-998;-998;3;5;5;3;5;5;4;5;5;Hemos aprendido a desarrollar un experimento de manera casi completa por nosotros mismos. Además, Ana (metabolismo) nos ha ayudado mucho.  ;Solamente había una cabina para trabajar con los cultivos celulares.  ;;1;3;3;5;5;3;1;2;4;3;4;5;5;5;5;5;5;4;3;3;4;4;Al pasar el contenido de One Note a PDF o word, el formato no coincidía, se desordenaba todo. Por ello, ahora tenemos que emplear bastante tiempo en reordenarlo todo.  
65907;20/12/2019 12:31:24;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo10;;2 : Metabolism;1;5;3;2;3;2;3;3;3;3;3;4;5;3;5;5;5;4;3;5;2;3;4;5;5;5;5;1;3;2;2;2;2;2;2;1;5;5;5;0;3;4;1;4;4;4;4;4;5;Es la clase de prácticas que te acercan más a la vida real de un laboratorio;Faltan un poco de recursos, como material de laboratorio, incubadoras, etc. Por otra parte el cambio del método tradicional del año pasado al de ahora es muy radical y puede generar inseguridad e indecisión en los alumnos.;;5;5;3;1;5;5;5;5;5;5;4;4;3;1;1;5;5;5;3;1;5;5;
