Respuesta;Enviado el:;Institución;Departamento;Curso;Grupo;ID;Nombre completo;Nombre de usuario;Q00_Group;Q00_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q00_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q00_equipment->Lab equipment was well mantained/modern;Q01_Length and schedule->The course is too long;Q01_Length and schedule->The period allocated for the course within the term is appropriate;Q01_Length and schedule->On average, the number of hours per day is sufficient;Q02_General methodology->student engagement;Q02_General methodology->course interest;Q02_General methodology->course usefulness;Q02_General methodology->demand on student's part;Q02_General methodology->course difficulty;Q03_method_objectives->State a hypothesis;Q03_method_objectives->Design an experimental strategy to answer specific biological questions;Q03_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q03_method_objectives->Write an experimental protocol including all relevant controls;Q03_method_objectives->Execute an experimental protocol;Q03_method_objectives->Record, analyze and interpret experimental results;Q03_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q03_method_objectives->Follow lab safety rules;Q03_method_objectives->Ability to work in a team;Q04_Activities interest->Introductory lecture (day 1);Q04_Activities interest->Stats Intro (day 2);Q04_Activities interest->Initial brainstorming session (day 2);Q04_Activities interest->Group meetings (experiment planning and design);Q04_Activities interest->Team feed-back session (propossal design);Q04_Activities interest->Final group discussion session (day before the last);Q04_Activities interest->Final class discussion session (last day);Q05_activities length->Introductory lecture (day 1);Q05_activities length->Stats Intro (day 2);Q05_activities length->Initial brainstorming session (day 2);Q05_activities length->Group meetings (experiment planning and design);Q05_activities length->Team feed-back sessions;Q05_activities length->Final group discussion session (day before the last);Q05_activities length->Final class discussion session (last day);Q06_Assessment Items 1->Safety and clean-up weekly evaluation;Q06_Assessment Items 1->Individual lab notebook evaluation (design);Q06_Assessment Items 1->Group lab notebook evaluation (design);Q06_Assessment Items 1->Group lab notebook evaluation (results);Q06_Assessment Items 1->Peer-evaluation (Team);Q06_Assessment Items 1->Final exam;Q07_Learning Objectives->State a hypothesis;Q07_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q07_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q07_Learning Objectives->Write an experimental protocol including all relevant controls;Q07_Learning Objectives->Execute an experimental protocol;Q07_Learning Objectives->Record, analyze and interpret experimental results;Q07_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q07_Learning Objectives->Follow lab safety rules;Q07_Learning Objectives->Ability to work in a team;Q08_Best;Q09_Worst;Q10_final_Open;Q11_On the Electronic Note Book->-I knew OneNote before the course.;Q11_On the Electronic Note Book->-I find OneNote a useful app for the elaboration of the course Notebook.;Q11_On the Electronic Note Book->-I think we had enough previous information about the use of OneNote for the course laboratory notebook.;Q11_On the Electronic Note Book->-I would prefer other applications like Evernote, Google Docs, or MS Word.;Q11_On the Electronic Note Book->-The structure of the Notebook in Sections, Pages, and Subpages was easy to understand and use.;Q11_On the Electronic Note Book->-I would recommend to use OneNote for the ELN next year.;Q12_On the Electronic Note Book->-It overall allowed us to save time through the whole course.;Q12_On the Electronic Note Book->-It helped us in the preparation of the final version to be presented.;Q12_On the Electronic Note Book->-It made it easier working in groups.;Q12_On the Electronic Note Book->-It could be useful for other practical courses.;Q13_On the Electronic Note Book->-Synchronization issues hindered our team-working.;Q13_On the Electronic Note Book->-Conflicts of versions were very frequent.;Q13_On the Electronic Note Book->-Access to the ELN was slow.;Q13_On the Electronic Note Book->-We missed several word-processing features.;Q13_On the Electronic Note Book->-Some features of the application did not work properly.;Q14_On the Electronic Note Book->-The template helped us to prepare the final version of the notebook.;Q14_On the Electronic Note Book->-The structure of the template matches the evaluation rubric.;Q14_On the Electronic Note Book->-The structure of 4 independent notes helped to understand each step of the work in a research lab.;Q14_On the Electronic Note Book->-The word limit in some sections of the template is appropriate (1;Q14_On the Electronic Note Book->-We had to modify some sections of the template to suit our experimental work.;Q14_On the Electronic Note Book->-The template will facilitate an even evaluation.;Q14_On the Electronic Note Book->-The use of an ELN with OneNote in this course will help us in future laboratory work (TFG, TFM, etc.).;Q15_final_Open On the ELN;Q16_Project desing teams session;Q17
116677;21/12/2021 12:14:03;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo1;;5 : Flies;4;2;4;1;5;4;3;3;3;3;2;5;5;4;4;4;4;4;4;5;2;3;3;5;1;4;4;1;2;2;2;2;2;2;4;4;4;4;3;-1;4;3;4;4;4;4;4;4;4;Creo que ha sido un curso muy positivo para desarrollar tus habilidades en el laboratorio y el trabajo en equipo. También pienso que este modelo de trabajo es mucho más didáctico y llamativo que un modelo de trabajo tradicional y que el resultado final es mucho más gratificante.;Creo que la primera reunión grupal de feedback que realizamos no fue tan útil como podría haber sido, ya que hubo una participación excesiva por parte de los profesores y al final no hubo tantas oportunidades de que otros alumnos hablaran y preguntaran sus dudas.;;5;4;3;2;5;4;3;4;4;4;3;4;3;3;2;3;3;3;3;5;2;4;;Hasta cierto punto, creo que pudo ser útil para afinar nuestro pensamiento científico.;Creo que, durante la sesión, no se favoreció lo suficiente la participación del alumnado y que no aprendimos tanto como podríamos haberlo hecho.
116657;21/12/2021 12:07:29;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo2;;3 : Transcription;2;2;3;1;2;4;3;3;3;3;2;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;1;2;2;2;2;2;2;4;3;3;3;3;1;5;4;4;4;4;5;4;5;4;The possibility to work at your own under the supervision but developing all the skills you will need in the future with proper guidance and having to confront the real problems that arise when designing experiments in the laboratory. ;Perhaps the limitiation of time and resources but that is also a real obstacle to overcome when working in a professional laboratory.;;2;4;4;3;4;3;3;4;4;4;2;1;2;5;3;4;3;2;3;2;4;4;Some of the tools provided in OneNote do not meet our need in terms of completing the Laboratory Notebook and we had to make a final edit it in Word in order to include some graphics and other features.;The brainstorming sessions and the whole teamwork aspects constitute a very eniching activity in terms of learning and developing the critical thinking needed to design the experiment.;None
116641;21/12/2021 12:00:16;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo3;;3 : Transcription;2;5;3;1;3;4;3;3;3;3;3;5;4;1;5;3;3;1;3;3;1;5;5;5;1;1;1;1;3;3;1;1;1;1;1;5;5;1;-1;1;5;3;5;2;4;5;2;1;1;Realizar la hipótesis y el protocolo ha sido muy beneficioso. He aprendido bastante de esa parte. Además, la clase de estadística siempre es útil para recapitular conceptos aunque quizás deberían aplicarse algo más.  ;No termino de entender porqué tenemos que realizar una examen final de esta parte. Cada grupo ha realizado experimentos muy diferentes y no entiendo cómo vamos a realizar un examen global de lo mismo. El aspecto más negativo creo que han sido todas las reuniones para interpretar resultados o discutir cosas que se han alargado demasiado.  ;No tengo ninguno :);5;1;1;5;3;1;1;4;1;1;1;3;1;1;1;1;1;1;1;1;1;1;Lo mejor creo que nos ha permitido leer el trabajo de los demás de manera más fácil pero sigo creyendo que no es la herramienta de trabajo adecuada. Muchas veces el texto no se veía bien, si dos personas estaban en la misma página daba problemas y escribir el texto directamente se hacía demasiado complicado.  ;Creo que la mejor parte es que tuvimos que mirar información en la bibliografía antes. Esto creo que nos ha aproximado mucho más a la realidad de un científico. Los profesores creo que supieron guiarnos más o menos en la dirección correcta para que esta sesión no se volviera infinita.  ;Creo que la parte más negativa fue la falta de organización general que había a la hora de trabajar. Por ejemplo, necesitábamos unos primers para hacer la secuenciación que se podrían haber pedido desde el primer día pero no se pidieron hasta casi el final de las prácticas porque hasta que no llegamos hasta esa parte no nos dimos cuenta. Era algo que se podría haber previsto. Por ello, creo que en estas clases haría falta dedicarle tiempo a organizar un poco más como van a ser las semanas posteriores.  
116693;21/12/2021 12:08:43;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo4;;4 : Yeast;4;4;4;1;5;4;2;3;1;3;2;5;5;5;4;3;4;3;2;3;2;3;5;5;4;5;4;1;2;1;3;2;2;1;4;5;4;4;3;-1;5;4;4;3;5;4;4;4;3;- Las prácticas han sido las más parecidas a investigar en el laboratorio.- Aprendes a trabajar con todo tipo de personas.- Te centras más al ser 3 semanas seguidas solo de prácticas.- Adquisición de habilidades de un laboratorio básico.;- En algunos momentos no había organización adecuada y ni los alumnos ni los becarios sabían los que había que hacer, por cambio en el protocolo o falta de material.- En general las sesiones teóricas son útiles, pero muy largas.;Me han gustado las prácticas y he aprendido.  ;1;4;3;4;2;4;4;2;5;5;5;3;4;4;5;4;4;5;4;3;4;4;- No se podía trabajar más de una persona en la misma página por la sincronización.- Podemos ver el trabajo de todo el mundo teniendo más puntos de vista.;- Mucho aprendizaje ya que no habíamos abordado este tema antes en anteriores prácticas.;- Era una parte de la investigación que no habíamos tratado hasta el momento y fue muy útil. Aunque costó un poco ya que no teníamos casi referencias de que experimentos se podían hacer y cuánto tardaban y qué materiales había.  
116645;21/12/2021 12:10:04;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo5;;1 : Biochemistry;5;2;4;3;4;2;3;3;3;3;3;4;4;4;4;4;3;4;3;3;2;4;4;4;3;4;4;1;2;2;3;3;2;1;3;5;4;4;4;3;2;3;3;4;4;4;3;3;3;Autonomía en el laboratorio;Poca ayuda de los profesores sobre todo para el análisis de datos y resultados (ausencia de explicaciones y ayuda sobre cómo analizar datos numéricos de la qPCR, algo que nunca antes hemos hecho ,ausencia de ayuda para discutir y mejorar nuestras interpretaciones de los resultados).;Sería conveniente tener alguna sesión explicativa de cómo analizar datos de qPCR, usar programa de densitometría,... en general de aspectos teóricos de las técnicas empleadas, así como tener algún tiempo programado con el profesor/tutor para que supervise cómo se va desarrollando el experimento y que se están interpretando bien los resultados.;1;3;4;5;1;2;4;4;4;4;1;1;1;1;2;1;2;3;5;5;3;3;Es bueno poder mirar lo que hacen otros grupos en ocasiones sirve para contrastar  ;;
116653;21/12/2021 12:05:11;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo6;;5 : Flies;5;3;5;1;5;2;3;3;3;3;2;4;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;2;3;2;3;1;2;2;3;5;5;5;-1;1;4;4;4;4;4;4;4;4;5;Hemos ganado más independencia, atrae más al estudiantado, hay un mayor trabajo grupal, estimula la creatividad y comprensión profunda de lo que se está haciendo.;Me gustaría que la asignatura durara más tiempo, que no tuviera un examen final (no creo que sea útil para evaluar el aprendizaje) y me gustaría que este planteamiento estuviera presente en el resto de asignaturas del grado que tienen un enfoque experimental.;Nada más a señalar.;1;5;5;1;5;5;5;5;5;5;3;2;1;1;2;3;3;1;1;5;3;4;Me ha gustado mucho en general el programa OneNote, me ha parecido muy útil para el team work.La plantilla me parece limitante, no la hemos dado uso más que para orientar los temas a tratar en el cuaderno.  ;Encontré muy útil el presentar el proyecto a mis compañeros y que me dieran su feedback porque se comprende en mayor profundidad lo que se propone y, las diferentes visiones permiten enriquecer el proyecto inicial.;La presentación final de los proyectos la encontré muy poco útil, el ambiente generado no fue lo suficientemente distendido como para fomentar la participación del alumnado y los conceptos no quedaron claros. Creo que debería replantearse el formato, porque es buena idea, pero fue el aterrizarla lo que hizo que no fuera tan útil como parecía en un principio.Creo que debería no centrarse tanto en una discusión gnoseológica y semántica, aunque es útil y merece la pena ser tratada, sino también el aportar ideas para enriquecer los proyectos y el abordaje experimental de los compañeros, para comprender los objetivos y conocer en qué se diferencian las distintas ramas.
116642;21/12/2021 11:57:01;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo7;;3 : Transcription;3;5;4;1;5;5;3;3;3;3;3;5;5;5;5;3;3;5;3;3;3;4;3;5;1;5;5;1;2;2;2;2;2;2;5;5;5;5;5;2;3;3;3;3;5;5;4;5;5;Diseñar tu propio experimento, teniendo que valorar las modificaciones de protocolo, los reactivos empleados, etc.Escoger el experimento que vas a realizar te permite sentirte más implicado en las prácticas.;Ha faltado tiempo para alcanzar nuestros objetivos.;;1;3;3;5;5;4;5;5;3;3;5;5;1;3;2;5;5;2;3;4;4;3;OneNote no permite justificar el texto y otras características que tienen otras plataformas.;Han sido útiles para aprender el procedimiento para preparar un protocolo, conocer plataformas importantes para el laboratorio.;
116680;21/12/2021 12:13:08;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo8;;1 : Biochemistry;5;3;2;3;5;3;3;3;3;3;3;5;5;5;5;3;5;5;3;5;5;5;5;5;5;5;5;2;2;1;3;3;2;2;3;3;4;4;4;1;4;4;3;4;3;3;4;3;5;La libertad que se nos ha proporcionado para trabajar ha resultado muy positiva. Yo por mi parte siento que he ganado seguridad a la hora de trabajar en el laboratorio y a la hora de diseñar y escoger las metodologías adecuadas para resolver preguntas. Contar con el apoyo y la ayuda de los becarios ha sido también muy útil para llevar a cabo los experimentos en los momentos en los que nos veíamos más perdidas. ;Considero que sería positivo que los diferentes grupos de 3 dentro de una misma rama trabajaran paralelamente para llevar a cabo abordajes relacionados entre sí, me ha faltado un poco que los resultados entre los diferentes grupos de 3 se complementen. Por otro lado, creo que sería interesante incluir más días de tutorías conjuntas con los profesores para ir evaluando más frecuentemente los resultados obtenidos y fallos en el protocolo que podrían haberse evitado.;;1;4;3;4;3;2;2;2;4;2;2;5;2;5;5;1;2;1;3;5;2;2;Opino que hacer el cuaderno de laboratorio por OneNote ayuda a trabajar en grupo y sincronizarse en tiempo real. También creo que no es muy util para escribir la versión final del cuaderno de laboratorio porque no permite adicionar y crear figuras (tablas, gráficas, esquemas...) de una manera tan sencilla. Por eso creo que la mayoría de nosotros no hemos prestado mucha atención al OneNote, porque no sabemos como usarlo correctamente. ;Diseñar los proyectos en conjunto con otros grupos permite intercambiar diferentes puntos de vista y datos experimentales que pueden ser utiles para avanzar en nuestros trabajos. ;
116669;21/12/2021 12:09:40;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo9;;1 : Biochemistry;5;4;5;1;5;5;3;3;3;3;3;5;5;4;5;3;4;5;3;4;4;4;2;5;5;4;4;2;2;2;2;2;2;2;4;4;4;3;-1;1;4;4;3;4;5;5;4;4;4;Se desarrolla mucho la capacidad para resolver problemas.Aprendemos a planificarnos teniendo en cuenta muchas variables que antes no conocía (controles obligatorios por ejemplo).Vemos la realidad de un laboratorio, los tiempos que lleva cada procedimiento que hemos estudiado mil veces. También vemos todos los problemas que pueden surgir y aprendemos a reorganizarnos.;Puede que haga falta más seguimiento los primeros días. Creo que si se hubiera hecho una revisión más a fondo del planning y el diseño experimental por parte de los profesores, se habrían detectado algunos fallos que se han ido arrastrando desde el inicio y que se han detectado al ver los resultados la última semana (utilización del medio incorrecto, no comprobación de los niveles de silenciamiento...);Me parece estupendo que nos permitáis daros feedback, creo que va a ser muy útil para las siguientes promociones. La asignatura está muy bien planteada aunque tenga cosas por mejorar, enhorabuena.;1;2;4;4;5;3;5;1;5;3;1;1;1;3;1;4;3;2;3;4;4;4;Word también tiene una opción de editar entre varios el mismo documento y tiene todas las funciones a las que estamos acostumbrados.En one note es muy apropiado para el seguimiento diario, y la opción de tener varias páginas es muy útil. Pero considero que para el cuaderno definitivo no es suficiente, porque no sabes cómo quedará realmente en pdf y le faltan funciones.;La primera introducción (día 1) fue muy atractiva.La sesión de estadística fue muy útil y con un nivel de dificultad apropiado. No se enseñaron fórmulas irrelevantes sino cosas que realmente tendríamos que usar en el día a día.Fue muy útil y dinámica la explicación sobre cómo utilizar la campana de flujo laminar.;La primera sesión en el laboratorio, la de el día que elegimos los temas, me pareció un poco precipitada. Nos encasillamos ya en un análisis cuando acabábamos de conocer la vía.La primera semana fue algo caótica, perdimos mucho tiempo en diseñar primers que ni siquiera íbamos a pedir.Se podría hacer una introducción al funcionamiento del laboratorio (localización de las cosas más importantes, organización para el uso de la campana...).
116655;21/12/2021 12:00:12;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo10;;5 : Flies;4;2;4;1;5;3;3;3;3;3;2;3;5;4;4;4;4;3;4;5;4;3;4;5;2;4;5;2;1;2;2;1;2;2;3;3;3;3;4;1;3;5;4;4;4;3;4;5;5;Trabajo en equipo y pensamiento crítico individual incluyendo el pensamiento de las técnicas que se realizaron para conseguir un objetivo de forma individual.;El examen final puesto que no considero que sea de gran utilidad.La discursión acalorada inicial en la presentación de los grupos donde se exponían las hipótesis de partida de cada uno. No creo que sea beneficioso la manera en la que se desarrollo y considero que debería haber estado centrada a su vez en exponer el cómo iban a desarrollar los experimentos en un inicio para que los pudieramos discutir si eran buenos o no más que discusiones dialécticas;;1;3;3;3;4;3;3;3;3;3;5;4;3;5;4;2;3;3;3;4;3;3;La lentitud a la hora de que varios integrantes participen en elaborar el cuaderno al mismo tiempo;Permite que todos los usuarios revisen y modifiquen los archivos que se realizan entre todos es más cooperativo.;
